               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034306,            0.008687,                   0,             0.70634,             0.60119,             0.63844,             0.27185,            0.042776,           0.0050354,                   0,           0.0006436,           0.0006436,           0.0006436
                  38,            0.034074,           0.0085901,                   0,             0.68646,              0.6131,             0.64258,             0.27279,            0.042481,           0.0050566,                   0,           0.0006337,           0.0006337,           0.0006337
                  39,            0.033195,           0.0086508,                   0,             0.71469,               0.625,             0.65291,             0.28157,            0.042107,           0.0050178,                   0,           0.0006238,           0.0006238,           0.0006238
                  40,            0.034061,            0.008579,                   0,             0.68486,               0.625,             0.65103,             0.27519,            0.042215,           0.0050277,                   0,           0.0006139,           0.0006139,           0.0006139
                  41,            0.033811,           0.0085522,                   0,             0.71254,              0.5902,             0.62743,             0.28041,            0.042679,           0.0050085,                   0,            0.000604,            0.000604,            0.000604
                  42,            0.032678,           0.0088716,                   0,              0.7173,              0.6131,             0.63048,             0.27891,            0.042823,           0.0049958,                   0,           0.0005941,           0.0005941,           0.0005941
                  43,            0.032607,           0.0088018,                   0,             0.68795,             0.61905,             0.62922,             0.27317,            0.042174,           0.0049495,                   0,           0.0005842,           0.0005842,           0.0005842
                  44,            0.032876,           0.0088825,                   0,              0.7072,             0.61905,             0.63672,             0.27133,            0.042421,           0.0049304,                   0,           0.0005743,           0.0005743,           0.0005743
                  45,            0.032431,           0.0087465,                   0,             0.68851,             0.60714,             0.62705,             0.27023,            0.042603,           0.0049766,                   0,           0.0005644,           0.0005644,           0.0005644
                  46,            0.032564,           0.0085016,                   0,              0.7073,             0.60119,             0.64306,             0.27564,            0.042147,           0.0049188,                   0,           0.0005545,           0.0005545,           0.0005545
