               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.026777,           0.0078963,             0.00356,             0.48436,             0.44981,             0.45716,             0.23251,            0.039067,           0.0045246,           0.0031128,            0.067407,          0.00032922,          0.00032922
                   1,            0.026492,           0.0079607,            0.003591,             0.49334,             0.45161,             0.45716,             0.22376,            0.039775,           0.0044883,           0.0031128,            0.034386,          0.00064069,          0.00064069
                   2,            0.027356,            0.007876,           0.0035974,             0.51108,             0.48429,             0.47108,             0.23005,            0.040291,           0.0044122,           0.0031031,           0.0013417,          0.00093016,          0.00093016
                   3,             0.02729,           0.0075901,           0.0035768,             0.52133,             0.44895,             0.48122,             0.23368,            0.041313,           0.0044284,           0.0031378,            0.000901,            0.000901,            0.000901
                   4,            0.026859,           0.0080156,           0.0035796,             0.51758,             0.48181,             0.47362,             0.23902,            0.040708,           0.0044587,           0.0031425,            0.000901,            0.000901,            0.000901
                   5,            0.027191,           0.0080505,           0.0035637,             0.50482,             0.46121,             0.45718,             0.22723,             0.04035,           0.0044542,           0.0030962,            0.000868,            0.000868,            0.000868
                   6,            0.027505,           0.0078197,           0.0035434,             0.50322,             0.47946,             0.46422,             0.22899,            0.040813,           0.0044517,           0.0030941,            0.000835,            0.000835,            0.000835
                   7,            0.026436,           0.0078043,           0.0035761,             0.52908,             0.47016,             0.48164,             0.24051,             0.04006,           0.0043876,           0.0031075,            0.000802,            0.000802,            0.000802
                   8,            0.026389,           0.0078837,           0.0035015,             0.48484,             0.46004,             0.44778,             0.21282,            0.042601,           0.0045094,           0.0030983,            0.000769,            0.000769,            0.000769
                   9,            0.026384,           0.0075058,           0.0036045,             0.49005,             0.45521,             0.47014,             0.23743,            0.039543,           0.0045059,           0.0030733,            0.000736,            0.000736,            0.000736
                  10,            0.026111,           0.0076406,           0.0035848,             0.52092,             0.48064,             0.47858,             0.23659,            0.040101,           0.0044213,           0.0030884,            0.000703,            0.000703,            0.000703
                  11,            0.026064,           0.0078325,           0.0035281,             0.49828,             0.48181,             0.45527,             0.22447,             0.03999,           0.0044343,           0.0030737,             0.00067,             0.00067,             0.00067
                  12,            0.026119,           0.0078116,           0.0035629,             0.53087,             0.49029,             0.49209,             0.23829,             0.04049,           0.0044302,           0.0030731,            0.000637,            0.000637,            0.000637
                  13,            0.026176,           0.0078146,           0.0035636,              0.5038,             0.48977,             0.48274,             0.23922,            0.039572,           0.0044479,           0.0030664,            0.000604,            0.000604,            0.000604
                  14,            0.025755,           0.0079818,           0.0035619,              0.5165,             0.49952,             0.49049,             0.24021,             0.03964,           0.0044318,           0.0030621,            0.000571,            0.000571,            0.000571
                  15,             0.02563,           0.0075673,           0.0035805,             0.50929,             0.47581,             0.48491,             0.23936,            0.039713,           0.0044263,           0.0030701,            0.000538,            0.000538,            0.000538
                  16,            0.026023,           0.0079199,           0.0035488,             0.50628,             0.49769,             0.49459,             0.23373,            0.041077,           0.0043675,            0.003056,            0.000505,            0.000505,            0.000505
                  17,            0.024943,           0.0076977,           0.0035351,             0.51498,             0.47144,              0.4684,             0.23986,            0.039885,           0.0044406,           0.0030626,            0.000472,            0.000472,            0.000472
                  18,            0.025554,           0.0080623,           0.0035306,             0.51514,             0.49394,             0.49138,             0.24834,            0.039119,           0.0044662,           0.0030388,            0.000439,            0.000439,            0.000439
                  19,            0.025237,           0.0075076,           0.0035662,             0.53205,             0.50371,             0.48853,             0.24207,            0.039613,           0.0044725,           0.0030293,            0.000406,            0.000406,            0.000406
                  20,            0.025352,           0.0078117,           0.0035907,             0.50777,             0.51219,             0.49724,             0.24618,            0.039962,           0.0044261,           0.0030403,            0.000373,            0.000373,            0.000373
                  21,            0.025191,            0.007912,           0.0034946,             0.49813,             0.49222,             0.46048,             0.22382,            0.040226,           0.0044168,           0.0030396,             0.00034,             0.00034,             0.00034
                  22,            0.024786,           0.0075807,           0.0036137,             0.53839,             0.48794,             0.49104,             0.24518,            0.039555,           0.0044764,           0.0030407,            0.000307,            0.000307,            0.000307
                  23,            0.025187,           0.0078102,           0.0035566,             0.51663,             0.50756,             0.49365,             0.24149,            0.040213,           0.0043976,           0.0030405,            0.000274,            0.000274,            0.000274
                  24,            0.025193,           0.0077675,           0.0035327,             0.51473,             0.50854,             0.49678,              0.2417,            0.039859,           0.0044143,           0.0030338,            0.000241,            0.000241,            0.000241
                  25,            0.025255,           0.0076676,           0.0035359,             0.49833,             0.47216,             0.47653,             0.24352,            0.039556,           0.0044695,           0.0030375,            0.000208,            0.000208,            0.000208
                  26,            0.025069,           0.0078528,           0.0035493,             0.52068,             0.50006,             0.49125,             0.24426,            0.040057,           0.0043934,           0.0030254,            0.000175,            0.000175,            0.000175
                  27,            0.025361,           0.0077102,           0.0035358,             0.50216,             0.51417,              0.4911,             0.24528,            0.039472,           0.0044174,           0.0030285,            0.000142,            0.000142,            0.000142
                  28,             0.02513,           0.0080053,           0.0035533,             0.49867,             0.47459,             0.46627,              0.2351,            0.039396,           0.0044209,           0.0030226,            0.000109,            0.000109,            0.000109
